Country Name,Country Code,Indicator Name,Indicator Code,2000,2005,2010,2015
Albania,ALB,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,90392.0,72039.0,50624.0,44885.0
Albania,ALB,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,270406.0,234522.0,227021.0,165674.0
Albania,ALB,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,511756.0,529872.0,402516.0,329011.0
Albania,ALB,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,257515.0,269762.0,209175.0,169397.0
Albania,ALB,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,68893.0,62132.0,51091.0,36576.0
Albania,ALB,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,240167.0,265994.0,178188.0,156541.0
Albania,ALB,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,120584.0,131743.0,85131.0,76359.0
Albania,ALB,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,4.0,4.0,4.0,4.0
Albania,ALB,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,3.0,3.0
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,0.491705679,5.843942092,12.5,38.2
Algeria,DZA,Official entrance age to pre-primary education (years),UIS.THAGE.0,4.0,4.0,5.0,
Algeria,DZA,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,15.0,15.0,
Algeria,DZA,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,2349251.0,2294672.0,2553307.0,2260605.0
Algeria,DZA,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,1150574.0,1123428.0,1251825.0,1110875.0
Algeria,DZA,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,1428467.0,1155493.0,595154.0,810291.0
Algeria,DZA,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,699388.0,565641.0,292686.0,398768.0
Algeria,DZA,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,4616843.0,4048223.0,2869041.0,3379491.0
Algeria,DZA,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,4626135.0,4638396.0,4750576.0,4056674.0
Algeria,DZA,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,2358276.0,2367523.0,2419334.0,2065697.0
Algeria,DZA,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,786861.0,741393.0,583079.0,593186.0
Algeria,DZA,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,2276884.0,2343724.0,2197269.0,1796069.0
Algeria,DZA,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,1117285.0,1147445.0,1079417.0,880102.0
Algeria,DZA,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,3.0,4.0,4.0
Algeria,DZA,Theoretical duration of pre-primary education (years),UIS.THDUR.0,2.0,2.0,1.0,1.0
American Samoa,ASM,Internet users (per 100 people),IT.NET.USER.P2,,,,
American Samoa,ASM,Official entrance age to pre-primary education (years),UIS.THAGE.0,,,,
American Samoa,ASM,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,,,,
American Samoa,ASM,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,,,,
American Samoa,ASM,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,,,,
American Samoa,ASM,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,,,,
American Samoa,ASM,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,,,,
American Samoa,ASM,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,,,,
American Samoa,ASM,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,,,,
American Samoa,ASM,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,,,,
American Samoa,ASM,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,,,,
American Samoa,ASM,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,,,,
American Samoa,ASM,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,,,,
American Samoa,ASM,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,,,,
American Samoa,ASM,Theoretical duration of pre-primary education (years),UIS.THDUR.0,,,,
Andorra,AND,Internet users (per 100 people),IT.NET.USER.P2,10.53883561,37.60576622,81.0,96.91
Andorra,AND,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Andorra,AND,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,16.0,16.0,16.0,16.0
Andorra,AND,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,,,,
Andorra,AND,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,,,,
Andorra,AND,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,,,,
Andorra,AND,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,,,,
Andorra,AND,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,,,,
Andorra,AND,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,,,,
Andorra,AND,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,,,,
Andorra,AND,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,,,,
Andorra,AND,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,,,,
Andorra,AND,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,,,,
Andorra,AND,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,4.0,4.0,4.0,4.0
Andorra,AND,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,3.0,3.0
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,0.105045562,1.143366827,2.8,12.4
Angola,AGO,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,5.0,5.0
Angola,AGO,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,14.0,15.0,15.0
Angola,AGO,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,1551000.0,1843813.0,1565535.0,1887427.0
Angola,AGO,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,781896.0,926750.0,783556.0,941944.0
Angola,AGO,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,1597246.0,1922105.0,725709.0,845177.0
Angola,AGO,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,800194.0,958110.0,361593.0,420964.0
Angola,AGO,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,1805669.0,2174887.0,3764502.0,4472585.0
Angola,AGO,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,2576185.0,3057573.0,2954466.0,3562398.0
Angola,AGO,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,1278355.0,1519048.0,1472804.0,1783060.0
Angola,AGO,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,423586.0,508551.0,565080.0,678851.0
Angola,AGO,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,1025185.0,1213760.0,1388931.0,1674971.0
Angola,AGO,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,515934.0,611775.0,698106.0,837394.0
Angola,AGO,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,4.0,4.0,3.0,3.0
Angola,AGO,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,1.0,1.0
Antigua and Barbuda,ATG,Internet users (per 100 people),IT.NET.USER.P2,6.482225737,27.0,47.0,70.0
Antigua and Barbuda,ATG,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Antigua and Barbuda,ATG,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,15.0,15.0,15.0
Antigua and Barbuda,ATG,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,4265.0,4508.0,4781.0,4665.0
Antigua and Barbuda,ATG,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,2257.0,2360.0,2405.0,2317.0
Antigua and Barbuda,ATG,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,2871.0,3128.0,2979.0,2892.0
Antigua and Barbuda,ATG,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,1433.0,1536.0,1499.0,1442.0
Antigua and Barbuda,ATG,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,10493.0,11008.0,10883.0,10383.0
Antigua and Barbuda,ATG,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,6775.0,7333.0,7943.0,7836.0
Antigua and Barbuda,ATG,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,3172.0,3483.0,3896.0,3959.0
Antigua and Barbuda,ATG,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,1539.0,1563.0,1591.0,1524.0
Antigua and Barbuda,ATG,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,2510.0,2825.0,3162.0,3171.0
Antigua and Barbuda,ATG,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,1346.0,1490.0,1642.0,1560.0
Antigua and Barbuda,ATG,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,3.0,3.0,3.0
Antigua and Barbuda,ATG,Theoretical duration of pre-primary education (years),UIS.THDUR.0,2.0,2.0,2.0,2.0
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,7.038683086,17.72058337,45.0,68.04306411
Argentina,ARG,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Argentina,ARG,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,15.0,15.0,15.0
Argentina,ARG,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,2018029.0,2089505.0,2054841.0,2137132.0
Argentina,ARG,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,994674.0,1027615.0,1010151.0,1050617.0
Argentina,ARG,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,2109381.0,2095339.0,2190283.0,2204327.0
Argentina,ARG,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,1036900.0,1030192.0,1076096.0,1083003.0
Argentina,ARG,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,4175878.0,4160123.0,4238505.0,4351532.0
Argentina,ARG,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,3967348.0,4131989.0,4138595.0,4204388.0
Argentina,ARG,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,2011660.0,2097702.0,2103877.0,2137225.0
Argentina,ARG,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,685340.0,699382.0,687970.0,722191.0
Argentina,ARG,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,1949319.0,2042484.0,2083754.0,2067256.0
Argentina,ARG,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,961014.0,1006672.0,1024567.0,1016546.0
Argentina,ARG,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,3.0,3.0,3.0
Argentina,ARG,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,3.0,3.0
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,1.300470022,5.252983352,25.0,59.10237771
Armenia,ARM,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Armenia,ARM,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,15.0,15.0,15.0
Armenia,ARM,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,328693.0,278779.0,,164033.0
Armenia,ARM,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,163696.0,131980.0,,76306.0
Armenia,ARM,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,199847.0,148974.0,,123979.0
Armenia,ARM,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,96529.0,67452.0,,59374.0
Armenia,ARM,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,183003.0,132715.0,,146800.0
Armenia,ARM,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,451155.0,406042.0,,271508.0
Armenia,ARM,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,225766.0,212602.0,,143107.0
Armenia,ARM,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,63538.0,47122.0,,34577.0
Armenia,ARM,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,122462.0,127263.0,100015.0,107475.0
Armenia,ARM,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,61693.0,61460.0,44069.0,52095.0
Armenia,ARM,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5.0,5.0,5.0,5.0
Armenia,ARM,Theoretical duration of pre-primary education (years),UIS.THDUR.0,4.0,4.0,4.0,3.0
Aruba,ABW,Internet users (per 100 people),IT.NET.USER.P2,15.44282295,25.4,62.0,88.66122693
Aruba,ABW,Official entrance age to pre-primary education (years),UIS.THAGE.0,4.0,4.0,4.0,4.0
Aruba,ABW,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,14.0,14.0,14.0
Aruba,ABW,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,2607.0,3080.0,3039.0,2916.0
Aruba,ABW,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,1295.0,1554.0,1498.0,1436.0
Aruba,ABW,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,2929.0,2809.0,2689.0,2561.0
Aruba,ABW,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,1445.0,1389.0,1311.0,1257.0
Aruba,ABW,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,8360.0,9203.0,8667.0,8297.0
Aruba,ABW,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,6403.0,7418.0,7662.0,7408.0
Aruba,ABW,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,3222.0,3662.0,3909.0,3744.0
Aruba,ABW,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,1329.0,1576.0,1496.0,1424.0
Aruba,ABW,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,3796.0,4338.0,4623.0,4492.0
Aruba,ABW,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,1886.0,2202.0,2255.0,2228.0
Aruba,ABW,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,2.0,2.0,2.0,2.0
Aruba,ABW,Theoretical duration of pre-primary education (years),UIS.THDUR.0,2.0,2.0,2.0,2.0
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,46.75611561,63.0,76.0,84.56051935
Australia,AUS,Official entrance age to pre-primary education (years),UIS.THAGE.0,4.0,4.0,4.0,4.0
Australia,AUS,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,16.0,16.0,16.0,16.0
Australia,AUS,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,1063012.0,1128626.0,1135116.0,1128014.0
Australia,AUS,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,515549.0,542573.0,547036.0,548512.0
Australia,AUS,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,267899.0,256984.0,277605.0,314924.0
Australia,AUS,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,128707.0,124865.0,135483.0,152867.0
Australia,AUS,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,1899544.0,1889791.0,1906281.0,2094332.0
Australia,AUS,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,1592444.0,1682943.0,1723145.0,1714038.0
Australia,AUS,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,819039.0,871780.0,893692.0,882917.0
Australia,AUS,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,268424.0,281104.0,276182.0,282541.0
Australia,AUS,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,529432.0,554317.0,588029.0,586024.0
Australia,AUS,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,257856.0,268590.0,282417.0,282609.0
Australia,AUS,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,4.0,4.0,4.0,4.0
Australia,AUS,Theoretical duration of pre-primary education (years),UIS.THDUR.0,1.0,1.0,1.0,1.0
Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,33.73013295,58.0,75.17,83.94014193
Austria,AUT,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Austria,AUT,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,14.0,14.0,14.0
Austria,AUT,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,371737.0,391245.0,353887.0,332019.0
Austria,AUT,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,181127.0,190571.0,172557.0,162930.0
Austria,AUT,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,279211.0,243027.0,238377.0,237267.0
Austria,AUT,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,135958.0,118427.0,116229.0,115437.0
Austria,AUT,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,377978.0,359292.0,328545.0,318361.0
Austria,AUT,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,757398.0,777306.0,752268.0,690920.0
Austria,AUT,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,388153.0,398247.0,385261.0,352006.0
Austria,AUT,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,93727.0,93840.0,83777.0,80372.0
Austria,AUT,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,385661.0,386061.0,398381.0,358901.0
Austria,AUT,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,188118.0,188488.0,194450.0,175984.0
Austria,AUT,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,4.0,4.0,4.0,4.0
Austria,AUT,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,3.0,3.0
Azerbaijan,AZE,Internet users (per 100 people),IT.NET.USER.P2,0.147757576,8.030375356,46.0,77.0
Azerbaijan,AZE,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Azerbaijan,AZE,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,15.0,15.0,15.0
Azerbaijan,AZE,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,925701.0,893647.0,725873.0,634384.0
Azerbaijan,AZE,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,463392.0,436890.0,344716.0,296199.0
Azerbaijan,AZE,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,495887.0,368405.0,363676.0,487322.0
Azerbaijan,AZE,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,252937.0,184108.0,169735.0,224896.0
Azerbaijan,AZE,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,720249.0,594698.0,513587.0,516989.0
Azerbaijan,AZE,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,1263547.0,1269855.0,1075539.0,907062.0
Azerbaijan,AZE,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,630183.0,647308.0,562084.0,482102.0
Azerbaijan,AZE,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,188309.0,161857.0,129626.0,120907.0
Azerbaijan,AZE,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,337846.0,376208.0,349666.0,272678.0
Azerbaijan,AZE,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,169972.0,185657.0,168739.0,128761.0
Azerbaijan,AZE,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5.0,5.0,5.0,5.0
Azerbaijan,AZE,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,3.0,3.0
"Bahamas, The",BHS,Internet users (per 100 people),IT.NET.USER.P2,8.0,25.0,43.0,78.0
"Bahamas, The",BHS,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
"Bahamas, The",BHS,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,14.0,14.0,14.0
"Bahamas, The",BHS,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,16932.0,17812.0,18039.0,15136.0
"Bahamas, The",BHS,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,8457.0,8862.0,8920.0,7418.0
"Bahamas, The",BHS,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,12140.0,10902.0,9918.0,11551.0
"Bahamas, The",BHS,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,5991.0,5357.0,4840.0,5639.0
"Bahamas, The",BHS,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,35722.0,33940.0,31490.0,31132.0
"Bahamas, The",BHS,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,34197.0,35936.0,37142.0,32716.0
"Bahamas, The",BHS,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,17121.0,18040.0,18748.0,16620.0
"Bahamas, The",BHS,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,5698.0,5835.0,5680.0,4838.0
"Bahamas, The",BHS,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,17265.0,18124.0,19103.0,17580.0
"Bahamas, The",BHS,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,8619.0,9034.0,9474.0,8678.0
"Bahamas, The",BHS,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,3.0,3.0,3.0
"Bahamas, The",BHS,Theoretical duration of pre-primary education (years),UIS.THDUR.0,2.0,2.0,2.0,2.0
Bahrain,BHR,Internet users (per 100 people),IT.NET.USER.P2,6.153732546,21.30373351,55.0,93.47830114
Bahrain,BHR,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,3.0,3.0,3.0
Bahrain,BHR,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,15.0,15.0,15.0
Bahrain,BHR,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,31897.0,37878.0,44256.0,46643.0
Bahrain,BHR,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,15766.0,18129.0,21679.0,22832.0
Bahrain,BHR,"Population of the official age for pre-primary education, both sexes (number)",SP.PRE.TOTL.IN,42510.0,47869.0,51797.0,59411.0
Bahrain,BHR,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,20469.0,23034.0,25259.0,29447.0
Bahrain,BHR,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,74046.0,87000.0,98616.0,106902.0
Bahrain,BHR,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,62580.0,74478.0,86064.0,90525.0
Bahrain,BHR,"Population of the official age for secondary education, male (number)",SP.SEC.TOTL.MA.IN,31647.0,39192.0,43655.0,46177.0
Bahrain,BHR,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,11140.0,13387.0,16016.0,16834.0
Bahrain,BHR,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,30683.0,36600.0,41808.0,43882.0
Bahrain,BHR,"Population of the official age for upper secondary education, female (number)",SP.SEC.UTOT.FE.IN,15167.0,17157.0,20730.0,21516.0
Bahrain,BHR,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,3.0,3.0,3.0
Bahrain,BHR,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,3.0,3.0,3.0
